City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Deputatskiy,RU,69.3,139.9,42.57,96,100,6.42,light rain
258,Byron Bay,AU,-28.65,153.6167,65.71,44,0,10.13,clear sky
259,Cherkizovo,RU,55.9758,37.7875,70.16,85,14,5.5,few clouds
260,Beringovskiy,RU,63.05,179.3167,52.09,90,100,5.84,overcast clouds
261,Artigas,UY,-30.4,-56.4667,47.16,91,42,9.75,scattered clouds
262,Marsh Harbour,BS,26.5412,-77.0636,83.64,72,2,17.65,clear sky
263,Maxixe,MZ,-23.8597,35.3472,66.18,88,17,7.07,few clouds
264,Barnstaple,GB,51.0802,-4.0581,57.27,71,100,6.29,overcast clouds
265,Saint-Philippe,RE,-21.3585,55.7679,67.59,77,16,2.33,few clouds
266,Adrasmon,TJ,40.6472,69.9856,66.76,36,0,4.83,clear sky
267,Paonta Sahib,IN,30.45,77.6167,79.2,85,94,4.05,heavy intensity rain
268,Mnogovershinnyy,RU,53.9353,139.9242,61.86,95,100,1.86,overcast clouds
269,Dunedin,NZ,-45.8742,170.5036,39.79,92,100,7.0,overcast clouds
270,Alofi,NU,-19.0595,-169.9187,75.09,78,100,18.41,overcast clouds
271,Prince Rupert,CA,54.3161,-130.3201,66.29,80,100,3.44,overcast clouds
272,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,11.5,light rain
273,Narsaq,GL,60.9167,-46.05,43.61,94,91,2.86,overcast clouds
274,Half Moon Bay,US,37.4636,-122.4286,78.04,69,40,5.75,scattered clouds
275,Souillac,MU,-20.5167,57.5167,68.38,88,40,11.5,scattered clouds
276,Montmagny,FR,48.9734,2.3469,64.96,57,0,8.05,clear sky
277,Aklavik,CA,68.2191,-135.0107,50.38,78,57,19.98,broken clouds
278,Moche,PE,-8.1711,-79.0092,59.18,88,100,12.66,fog
279,Sungairaya,ID,0.7,108.9,80.02,76,55,7.81,broken clouds
280,Grand-Lahou,CI,5.1367,-5.0242,72.73,82,1,6.91,clear sky
281,Bairiki,KI,1.3292,172.9752,86.0,70,75,12.66,light rain
282,Muzhi,RU,65.3667,64.6667,63.61,77,100,4.65,overcast clouds
283,Cananea,MX,30.95,-110.3,67.19,74,100,2.35,light rain
284,Tazovskiy,RU,67.4667,78.7,51.67,81,100,9.53,overcast clouds
285,Abu Zabad,SD,12.35,29.25,73.13,78,94,8.01,overcast clouds
286,Saint-Augustin,CA,51.226,-58.6502,65.55,62,100,16.8,overcast clouds
287,Cordoba,AR,-31.4135,-64.1811,52.75,64,0,6.91,clear sky
288,Mabaruma,GY,8.2,-59.7833,75.25,88,0,3.94,clear sky
289,Verkhnevilyuysk,RU,63.4453,120.3167,53.29,89,100,1.86,light rain
290,Champerico,GT,14.3,-91.9167,81.14,76,100,2.01,overcast clouds
291,Inhambane,MZ,-23.865,35.3833,67.55,86,18,8.21,few clouds
292,Cabo San Lucas,MX,22.8909,-109.9124,87.62,70,98,4.97,overcast clouds
293,Puerto Narino,CO,-3.7703,-70.3831,73.51,97,100,2.1,overcast clouds
294,San Miguel,SV,13.4833,-88.1833,79.75,70,84,1.99,broken clouds
295,Sulina,RO,45.1559,29.6536,75.6,75,7,10.87,clear sky
296,Ambanja,MG,-13.6833,48.45,68.56,72,26,3.09,scattered clouds
297,Yanliang,CN,34.6592,109.2292,86.99,53,100,1.81,overcast clouds
298,Sahbuz,AZ,39.4072,45.5739,71.2,66,2,5.41,clear sky
299,Falun,SE,60.6036,15.626,47.95,95,76,2.08,broken clouds
300,Yaan,NG,7.3833,8.5667,71.69,95,97,6.13,light rain
301,Corinto,GR,37.9407,22.9573,83.89,54,0,1.9,clear sky
302,Iquitos,PE,-3.7481,-73.2472,77.04,88,0,4.61,clear sky
303,Dingle,PH,10.9995,122.6711,74.08,96,100,1.74,overcast clouds
304,Leningradskiy,RU,69.3833,178.4167,34.66,98,100,4.54,light snow
305,Kallaste,EE,58.655,27.1592,53.83,84,0,9.57,clear sky
306,Senanga,ZM,-16.1167,23.2667,57.42,41,0,5.97,clear sky
307,Makakilo City,US,21.3469,-158.0858,85.6,65,100,9.22,light rain
308,San Patricio,US,28.017,-97.5169,86.18,62,98,14.88,overcast clouds
309,Storforshei,NO,66.4043,14.5233,49.66,100,100,0.0,overcast clouds
310,Belmonte,BR,-15.8631,-38.8828,72.19,88,56,7.38,broken clouds
311,Dehui,CN,44.5333,125.7,69.71,98,100,9.01,moderate rain
312,Ornskoldsvik,SE,63.2909,18.7153,50.95,81,9,17.27,clear sky
313,Airai,TL,-8.9266,125.4092,70.56,51,10,3.8,clear sky
314,San Policarpo,PH,12.1791,125.5072,77.31,89,100,5.35,overcast clouds
315,Sitka,US,57.0531,-135.33,57.09,94,100,12.66,moderate rain
316,Ranot,TH,7.7777,100.3213,80.51,77,100,7.14,moderate rain
317,Skive,DK,56.5667,9.0333,50.52,91,100,6.82,overcast clouds
318,Buta,CD,2.7858,24.73,68.07,99,100,1.14,light rain
319,Mehriz,IR,31.5917,54.4318,82.9,21,3,1.12,clear sky
320,Kloulklubed,PW,7.0419,134.2556,82.9,78,100,3.56,overcast clouds
321,Nouakchott,MR,18.0858,-15.9785,82.33,85,85,16.06,overcast clouds
322,Pochutla,MX,15.7432,-96.4661,77.58,84,100,4.16,overcast clouds
323,Lumeje,AO,-11.55,20.7833,59.14,35,0,4.21,clear sky
324,Ust-Omchug,RU,61.15,149.6333,64.8,60,30,6.46,scattered clouds
325,Porto Walter,BR,-8.2686,-72.7439,71.92,96,15,1.28,few clouds
326,Fallon,US,39.4735,-118.7774,91.92,26,0,7.07,clear sky
327,Porto Novo,BJ,6.4965,2.6036,72.34,89,4,5.21,clear sky
328,Kendari,ID,-3.945,122.4989,73.6,95,100,3.74,overcast clouds
329,Ketchikan,US,55.3422,-131.6461,60.87,92,98,7.52,overcast clouds
330,Bubaque,GW,11.2833,-15.8333,75.58,97,100,5.59,very heavy rain
331,Eureka,US,40.8021,-124.1637,68.2,83,62,1.99,broken clouds
332,Dukat,RU,62.55,155.55,67.93,50,100,10.11,overcast clouds
333,Umkomaas,ZA,-30.2067,30.7978,66.6,87,99,7.92,light rain
